net,length_um
net1,125.3µm
_09_,98.12µm
clk_i,49µm
clknet_1_0__leaf_clk_i,48.52µm
clknet_1_1__leaf_clk_i,42.24µm
counter_val_o[0],34.54µm
clknet_0_clk_i,33.76µm
counter_val_o[1],30.09µm
_10_,29.295µm
counter_val_o[4],26.6µm
counter_val_o[6],21.32µm
counter_val_o[2],18.82µm
_08_,11.94µm
counter_val_o[7],11.91µm
counter_val_o[3],11.67µm
_16_,11.16µm
counter_val_o[5],11.16µm
_13_,10.64µm
_18_,8.86µm
_05_,8.485µm
_14_,7.48µm
_00_,7.4µm
_12_,7.1µm
_07_,6.425µm
rst_i,6.28µm
_17_,5.72µm
_04_,5.38µm
_03_,3.08µm
_02_,2.96µm
_01_,2.715µm
net2,2.64µm
_06_,2.62µm
_11_,2.52µm
_15_,1.355µm
